ID_9K	ID_POPA
11_10030	1_0030
11_10259	1_0259
11_10275	1_0275
11_20371	2_0371
11_10419	1_0419
11_20502	2_0502
11_20514	2_0514
11_10597	1_0597
11_20712	2_0712
11_10757	1_0757
11_10760	1_0760
11_10764	1_0764
11_21067	2_1067
11_21072	2_1072
11_21134	2_1134
11_21174	2_1174
11_21226	2_1226
12_10636	1_0636
12_11011	1_1011
12_30241	3_0241
12_30336	3_0336
12_30588	3_0588
12_30715	3_0715
12_30918	3_0918
12_30933	3_0933
12_30948	3_0948
12_30969	3_0969
12_31144	3_1144
12_31149	3_1149
12_31177	3_1177
12_31276	3_1276
11_20047	2_0047
11_10186	1_0186
11_10238	1_0238
11_10294	1_0294
11_10438	1_0438
11_10470	1_0470
11_10526	1_0526
11_20617	2_0617
11_20660	2_0660
11_20749	2_0749
11_20855	2_0855
11_10744	1_0744
11_10775	1_0775
11_21048	2_1048
11_10873	1_0873
11_10895	1_0895
11_10957	1_0957
11_11064	1_1064
11_11287	1_1287
11_11478	1_1478
12_10159	1_0159
12_10235	1_0235
12_10300	1_0300
12_11301	1_1301
12_30436	3_0436
12_30438	3_0438
12_30562	3_0562
12_30683	3_0683
12_30762	3_0762
12_30796	3_0796
12_31467	3_1467
11_10075	1_0075
11_20260	2_0260
11_20427	2_0427
11_20698	2_0698
11_20757	2_0757
11_21193	2_1193
11_21312	2_1312
11_21354	2_1354
11_21357	2_1357
11_11162	1_1162
12_10314	1_0314
12_10410	1_0410
12_10506	1_0506
12_11169	1_1169
12_11266	1_1266
12_11311	1_1311
12_11357	1_1357
12_11498	1_1498
12_30043	3_0043
12_30268	3_0268
12_30404	3_0404
12_30498	3_0498
12_30817	3_0817
12_30876	3_0876
12_30919	3_0919
12_30950	3_0950
12_30951	3_0951
12_30952	3_0952
12_30955	3_0955
12_31134	3_1134
12_31208	3_1208
11_20095	2_0095
11_10520	1_0520
11_10617	1_0617
11_20798	2_0798
11_20810	2_0810
11_10768	1_0768
11_10798	1_0798
11_21053	2_1053
11_21217	2_1217
11_10933	1_0933
11_21333	2_1333
11_21361	2_1361
11_11049	1_1049
11_11326	1_1326
12_10198	1_0198
12_10201	1_0201
12_30110	3_0110
12_30304	3_0304
